aircraft_id,label_id,ff1_seq,len_seq_ff1
N08385_G-EZGY,1559117090000_N08385_G-EZGY,"[674.4310487878172, 798.0669478891258, 699.7452941157024, 835.4532475897436, 706.0609101818181, 7229.259369237113, 6509.405558122546, 6079.583396878049, 2919.0050899104476, 5129.878810063966, 4593.442521430198, 4216.470063589744, 3904.2113651329946, 3442.5237622958057, 2459.855725520661, 2486.5763964041234, 2320.623778969072, 2654.242709901919, 2519.2051593388433, 2722.0517496203047, 2463.509042183369, 2468.746731876289, 2549.103248628099, 2582.582650276423, 2583.21239382516, 2465.0681532041235, 2506.89002028866, 2609.9238809827184, 2463.997292609272, 2314.982041094017, 2570.253425865841, 2432.939367846482, 2356.285994016529, 2530.6894752989692, 2496.9809145502536, 2448.9567906754964, 2575.7314938842974, 2493.989459719797, 2475.21650961194, 2487.817310940397, 1437.527826677686, 2376.9709585365854, 2585.1809962985076, 2590.812588123348, 2516.0, 1811.0346362152286, 1568.0443244444446, 2422.8966243966943, 2570.692760991641, 2573.0, 1353.0517062555066, 630.0, 865.0, 954.4369862686567, 748.6103995041321, 786.931501031983, 934.7817425203252, 967.2242721766004, 940.1031836041236, 0.0]",60
N08385_G-EZGY,1560429765000_N08385_G-EZGY,"[658.4540999752578, 1346.033045164179, 795.4526611776859, 786.1531699338843, 803.5856888429753, 7601.172911336887, 7322.226839471074, 6275.0, 5843.070559991753, 5229.837561098081, 4650.33394509091, 4291.605124553719, 4001.011548668041, 3621.797980505331, 3279.807215909091, 3010.957201741736, 2422.0678359008266, 2496.6949052750533, 2413.943541549587, 2405.703819803719, 2521.3525961791047, 2048.7026864925374, 2453.3615661776857, 2586.812500745868, 2409.702416162047, 2173.885964528926, 2546.1663926322317, 2636.765307965885, 2465.94316892562, 2402.7299020867767, 2690.6193134214873, 2438.199608852878, 1937.9656734380164, 2569.5064021528924, 2651.520286673774, 2406.3322876103093, 2599.1988029421486, 2555.3257325266522, 2550.5226654020616, 2921.265116494845, 2085.589214771134, 2505.0478007913225, 2555.4981136033057, 2648.7650052686568, 2451.981496198347, 2041.4843843615704, 2767.909458055437, 2663.0198769380168, 2688.7408274628096, 226.6496867910448, 943.0849686280992, 625.0, 804.2773050247933, 770.8752774958679, 833.7630388247422, 832.1278067441365, 877.7996515958763, 1613.6898883649485, 2262.1658785, 741.5711197216494]",60
N08390_HB-JXO,1556355335000_N08390_HB-JXO,"[1345.280870605372, 665.3079126859504, 787.3438429257732, 723.5032078595041, 6851.39822505567, 6677.543801181819, 6029.979774626866, 5735.324079999999, 5162.633819347107, 4785.264693884861, 4390.686680921109, 4115.746968659794, 2642.6316450989693, 2641.2464448656715, 2522.0171073072165, 2567.22479677686, 2135.0710603944563, 2875.2037593677687, 2558.1844125752577, 3776.278893966942, 3539.193112035052, 3248.60403607438, 2126.2075155692964, 2279.908192, 2408.079701126033, 2232.23970651134, 2399.720441207265, 2463.016736717526, 2360.3554322293385, 2536.307337896694, 2404.862312216942, 1677.2104252066117, 1024.1160025608247, 2277.4577382430703, 1099.9155579402063, 1226.0652570575692, 1948.0466218976544, 1444.2848822089552, 697.438436729339, 678.8649244628099, 691.0301322231405, 795.0221332371134, 794.0020141136363, 722.3553721194031, 962.4604194235537, 1452.4919466115703, 2122.507905628866, 2103.8969614380167, 1004.9312877773195, 1596.9074877231403, 756.5592362089552, 725.7673958264463, 1321.782132909091, 763.1555029296376, 1312.9345821673553, 757.7590460701032, 745.5617300515463, 748.3812541979382, 0.0, 0.0]",60
N08344_G-EZRY,1552045775000_N08344_G-EZRY,"[586.0651201818182, 700.4882744434967, 723.2619121108742, 711.1350117603306, 723.8484719835051, 652.0, 6827.109521727272, 4581.064042927835, 2641.0985887249467, 2677.82935945503, 3617.7934744733475, 6232.072441018557, 6030.633613884298, 5654.944422557851, 5333.385555198347, 5010.3711939752575, 4751.779850268656, 4332.747546008762, 4045.0375775034513, 3783.9724716, 2533.4376722975207, 2347.0, 2301.0, 2343.868192959488, 2586.2613809649483, 2346.4792018636363, 2387.18265116701, 2359.093420020661, 2368.897881190083, 2419.7260472963753, 2442.98658403299, 2362.470220103306, 2322.203569402062, 2349.739195158763, 2380.3479527024792, 2393.3460146567163, 2366.9486051343283, 1051.9428005578511, 2466.530095909091, 2258.127801880165, 1129.5484703670104, 1960.8007571487606, 1882.0125380769232, 1622.4250457526653, 1254.6658384957263, 2515.3393368471075, 1288.3860770474225, 1549.7772882231407, 1484.265747315464, 767.6670617024793, 789.7290744051172, 754.6595373057851, 721.5127930598121, 716.6440839793814, 1283.016707446281, 843.0321387727272, 861.5256117938144, 862.958081113402, 2507.8946441364606, 1511.6131766859503]",60
N08344_G-EZRY,1553155175000_N08344_G-EZRY,"[558.960433673077, 837.3411678709678, 814.7631502448347, 6674.566117024793, 7028.445416559917, 6315.258572925373, 5310.566324985075, 4560.66134477193, 4109.763815412371, 3692.0175146843267, 3221.2551104285717, 2355.8276794580706, 2512.1871287244585, 2425.432102643923, 2331.7163316487604, 2536.517342658536, 2368.477413858617, 2320.3615323094555, 2518.5517035640496, 2511.1011508429756, 2613.856540840909, 2376.500996600442, 2287.502334756701, 2754.634314586777, 3099.0218909878045, 2335.846721602649, 2544.5116579658848, 2467.479872065979, 2502.9881252164823, 2467.7386101721854, 2458.080760147436, 2372.6176895948824, 2416.013220625, 2610.1848751958764, 2419.762651942268, 2446.214229818182, 2350.198104684959, 2438.6737715138593, 2447.0486525929755, 2335.6345857768592, 2446.019675347561, 2541.6057008827293, 2134.9458273774835, 2382.467418181818, 2185.4835145335364, 2476.360463842217, 2353.0, 2333.1589497979385, 2484.542332957317, 2463.173813897436, 492.0022547086777, 381.4990026556701, 621.634118119797, 752.852004392324, 1093.0, 1133.5115328842976, 1146.9844067675126, 1978.483651814433, 2160.8806527483443, 462.46174596694215]",60
N08358_G-EZRZ,1552598865000_N08358_G-EZRZ,"[740.9976031735537, 1038.948291107438, 776.0462187546392, 7707.595641731959, 7200.738675041322, 6370.931786006192, 5558.010369913402, 4913.998974464396, 4420.957404561983, 4060.9242420174587, 3798.0, 3389.521571268293, 3012.0, 2879.497109785124, 2365.4406238350516, 2627.6553937814438, 2427.862966857143, 2436.867511603306, 2426.7417093333333, 2445.683786556701, 2514.6531895479875, 2448.460945950413, 2407.77165738843, 2431.315485057851, 2417.144079256966, 2468.0632076363636, 2376.0, 2015.2807384559112, 2334.062017519092, 2288.3501129211086, 2399.215484923077, 2434.372008330579, 2312.4599367933884, 2494.0189020371135, 2484.6303656567916, 2486.1144311169974, 2279.146761314137, 2389.70111194702, 2289.1897160597014, 2263.2027597350993, 2395.466318515464, 2362.277738864809, 2307.707179239669, 2212.8180562683438, 2348.61269971134, 2254.1827391239667, 1209.000252534646, 1872.9118289024134, 2775.238954578512, 635.71309035533, 630.5837156363636, 757.3132261487604, 763.5252956033058, 2749.360989128205, 784.7922476759062, 898.8578633961739, 2698.95326526226, 916.2712229421488, 734.90325791453, 0.0]",60
N08358_G-EZRZ,1555517135000_N08358_G-EZRZ,"[681.9444911570248, 784.5809460618557, 659.5816766528925, 6789.178849567011, 6287.433325335238, 5726.176282975207, 4977.713502618557, 4442.477379535375, 4017.608875662393, 3499.184275619835, 2504.3421906597937, 2604.995596991025, 2534.6100813432836, 2715.91957123967, 2697.8304964742265, 2648.7843558490567, 2632.2082515351813, 2626.9971300639663, 2651.3577669214874, 2617.065580610687, 2686.1809273814433, 2679.0488942148763, 2661.739387313433, 2585.1774975266526, 2688.3564321049193, 2783.6010184742263, 2559.959939834711, 2589.6368020618556, 2494.551942584121, 2539.63534661157, 3311.8503562473347, 2837.788055, 2700.290282128099, 2529.9883804536084, 2781.511254896694, 2245.6372885360825, 2614.137761814433, 2537.3357090909094, 2746.210661983471, 2543.630856606418, 2555.9087441791044, 2926.664380948454, 2520.9762208677685, 2525.2135737603303, 2551.3624197105128, 2760.2212847835053, 2669.5790998966945, 2682.0, 2606.4703359488276, 2623.0192042886597, 2510.661937004132, 387.8969366942149, 610.8062149484537, 741.3027269421488, 729.0671720454545, 742.0182708315565, 1988.9754369045122, 2050.508040412371, 821.5066267010309, 750.5600583795309]",60
N08358_G-EZRZ,1558458045000_N08358_G-EZRZ,"[668.2306804793388, 738.1500835216494, 767.0849868742005, 723.7780603057851, 782.8527563636364, 776.1175290788913, 774.4054138309278, 7288.960444367769, 7021.811614788912, 7285.244563030928, 6692.0, 6270.316019260684, 6145.239250016529, 5774.082789558763, 5381.466362601279, 5084.204961615702, 4805.423039983471, 4539.934190971075, 4314.268892065979, 2294.578585805785, 2200.937924684536, 2241.4826112783503, 2351.953675802062, 2349.753151838843, 2331.5646818181817, 2207.3674610061853, 2235.546724719008, 2292.423596987603, 2353.4239827438014, 2313.835113429752, 2278.88030345567, 2237.6489907820514, 2207.41771356701, 2255.9148611257733, 2300.5520892537315, 1604.635306107438, 640.0, 745.054918597015, 787.2974943305785, 649.0233086983471, 724.3357137024793, 2540.533242454545, 1141.4892964958676, 762.0, 731.1599853195876, 704.167645107438, 666.7299776412372, 646.5810056735537, 918.6985785402062, 903.1915553608247, 2447.5404047272727, 2210.4724482561983, 2405.062510280992, 504.1402386983471, 753.328958305785, 731.2985085, 734.8858579134021, 0.0, 0.0, 0.0]",60
N08358_G-EZRZ,1558862000000_N08358_G-EZRZ,"[733.8927311942149, 779.7127399340101, 779.5148726481876, 7231.703318602642, 7178.482277811965, 6362.252057076288, 5487.702577569296, 4931.481999608247, 4455.587753411513, 4113.9757474214875, 3798.079513139319, 3370.1877636515464, 3042.9032118039217, 2302.3489297350993, 2505.7664147285864, 2354.5938191324503, 2401.822364162047, 2422.2829891479537, 2407.6352891684433, 2344.4692348720328, 2430.0, 2408.5047431342973, 2442.7001757190083, 2271.137873515464, 2309.0, 2354.8583527975206, 2302.3764906873066, 2321.430972626033, 2338.010150268318, 2401.5595450454543, 2170.260770429752, 2446.1427749216496, 1334.6329064214876, 1637.7476418556703, 2323.2480681735533, 2487.4311076900826, 2423.8755777008546, 2440.586696226006, 2435.7344195867768, 2383.970808918153, 2404.4923435711344, 1937.4296026778593, 1640.9783633176974, 1717.128206731959, 1840.9316501239668, 1679.8085620082643, 1555.3479404444442, 796.4358051876333, 792.2274512500001, 715.1733531838843, 2167.0001220356767, 1835.2820375227275, 1810.4007333710692, 900.844997767094, 1182.1184385897166, 2579.4786279359505, 2471.1110639545454, 876.5184004597938, 721.2937946280992, 0.0]",60
N08358_G-EZRZ,1561461355000_N08358_G-EZRZ,"[674.4502634865979, 817.4346073842976, 739.0015313884297, 658.0680360661157, 6945.784575909091, 6827.182521872165, 6311.095214822314, 5758.480096835821, 5246.280321889126, 4884.531547094017, 4579.466183713403, 4357.2791010909095, 4068.057539190083, 3691.7515888677685, 3433.930501807851, 2401.6885606823025, 2668.753227663113, 2508.1013884793388, 2606.241858828866, 2728.312517768595, 2594.2096051402063, 2622.0796019545455, 2419.625101053719, 2443.048213791045, 2484.4491568055555, 2512.8086264412373, 2516.4586967086775, 2457.256754285714, 2514.5530898784646, 2522.1518022863247, 2427.991580531959, 2579.5473733801655, 2460.3158196177687, 2426.3507593884297, 2488.323374318182, 2473.4059679505153, 2467.4070099524793, 2442.353594383505, 2421.4587336301656, 2071.745241735537, 2473.658111698347, 2509.4382844545453, 2511.2705455381442, 2553.028370738144, 2485.8079477628867, 2519.58108961157, 1902.9141155764464, 2709.8351743057856, 1830.35757875, 403.6004291546392, 552.8452050938166, 675.8009023670104, 823.685488018595, 755.8181848512397, 1381.4504323134329, 690.6371937435897, 635.0, 1747.2621356119403, 976.4736043987206, 727.9777330490406]",60
N08381_G-EZGX,1552419990000_N08381_G-EZGX,"[694.1061158041236, 1315.2464907876288, 742.0, 744.8308685826446, 751.841591427686, 754.9908471215352, 6999.645176105372, 7247.591702880165, 3581.1082799230767, 6311.1304504462805, 5762.031220123967, 5167.0, 4758.178666715464, 4351.336001261856, 4071.580593822314, 3839.059642024793, 3453.885463878099, 3102.292265347548, 2973.333928484536, 2129.151440098969, 2030.960832302772, 2098.7352093884297, 2209.0132926780384, 2219.091858004132, 1990.7254726632232, 2347.0, 2126.930264516529, 2229.5888085826446, 2995.6359841407248, 2705.563207059794, 2229.985842319588, 2403.3129072933884, 2269.9761353471076, 2272.7729836759063, 418.98408957113406, 386.22069595876286, 2397.9017421492536, 2502.118140181818, 2596.1637405268593, 1742.051121268595, 607.5132307051282, 697.9088218842975, 854.0551317644629, 951.0494153731343, 2480.330495053608, 1887.4020451134022, 1682.1549777185503, 735.3846558512397, 1860.3898128721648, 1401.7430819504132, 1719.4651334437085, 1128.9828153333333, 650.2827614524793, 1670.4994688017057, 1394.6136996061857, 2691.6413560913707, 2177.900643151386, 763.4217356923077, 744.0224364701987, 749.8368332123712]",60
